"u_parent_asset.parent","u_parent_asset","u_category","name","asset_tag","serial_number","location","u_room","u_model_name","manufacturer"
"","","Microphone","97998","97998","A1631301471N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","97999","97999","A1631301465N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C000326","C000326","A3011402000N","VIHA-RJH-Royal Jubilee Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C000533","C000533","A2531401283N","VIHA-VGH-Victoria General Hospital","1817","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C000953","C000953","A2371400382N","VIHA-RJH-Royal Jubilee Hospital","EMP447","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C001093","C001093","A3011402008N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C001094","C001094","A3011402011N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C001095","C001095","A3011402007N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C001096","C001096","A3011402003N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C001097","C001097","A3011402010N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C001098","C001098","A3011402004N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C001101","C001101","A3011401280N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C001102","C001102","A3011402029N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C001103","C001103","A3011402030N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C001104","C001104","A3011401282N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C001105","C001105","A3011401344N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C001106","C001106","A3011401343N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C001107","C001107","A3011401341N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C001109","C001109","A3011401342N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C001138","C001138","A20619D36728N3","VIHA-RJH-Royal Jubilee Hospital","625","0POWM3N3","NUANCE COMMUNICATIONS"
"","","Microphone","C001177","C001177","A2191401372N","VIHA-RJH-Royal Jubilee Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C001223","C001223","A2191401365N","VIHA-NRGH-Nanaimo Regional General Hospital","ED","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C001224","C001224","A2191401366N","VIHA-OHC-Oceanside Health Centre","Urgent Care","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C001225","C001225","A2191401371N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C001512","C001512","A3011401990N","VIHA-RJH-Royal Jubilee Hospital","Behind Reception","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C001514","C001514","A3011401987N","VIHA-RJH-Royal Jubilee Hospital","Clinic 3 Behind Reception","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C001545","C001545","A3011401988N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001546","C001546","A3011402078N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001548","C001548","A3011402079N","VIHA-NRGH-Nanaimo Regional General Hospital","1209","",""
"","","Microphone","C001549","C001549","A3011402080N","VIHA-NRGH-Nanaimo Regional General Hospital","B065C","",""
"","","Microphone","C001550","C001550","A3011402070N","VIHA-NRGH-Nanaimo Regional General Hospital","B091","",""
"","","Microphone","C001551","C001551","A3011402065N","VIHA-NRGH-Nanaimo Regional General Hospital","G001","",""
"","","Microphone","C001552","C001552","A2371400384N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001553","C001553","A3011402066N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001555","C001555","A3011401986N","VIHA-NRGH-Nanaimo Regional General Hospital","B075","",""
"","","Microphone","C001556","C001556","A3011402068N","VIHA-NRGH-Nanaimo Regional General Hospital","RADU","",""
"","","Microphone","C001557","C001557","A3011402071N","VIHA-NRGH-Nanaimo Regional General Hospital","Pediatrics","",""
"","","Microphone","C001558","C001558","A3011402072N","VIHA-NRGH-Nanaimo Regional General Hospital","B075","",""
"","","Microphone","C001559","C001559","A3011402069N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001560","C001560","A3011402073N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001561","C001561","A3011402075N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001563","C001563","A3011402076N","VIHA-NRGH-Nanaimo Regional General Hospital","NICU","",""
"","","Microphone","C001585","C001585","A2371400369N","VIHA-NRGH-Nanaimo Regional General Hospital","G069","",""
"","","Microphone","C001587","C001587","A2371400374N","VIHA-NRGH-Nanaimo Regional General Hospital","Cast Clinic","",""
"","","Microphone","C001588","C001588","A2371400375N","VIHA-NRGH-Nanaimo Regional General Hospital","B227","",""
"","","Microphone","C001590","C001590","A2371400379N","VIHA-NRGH-Nanaimo Regional General Hospital","R1013","",""
"","","Microphone","C001592","C001592","A3011402022N","VIHA-NRGH-Nanaimo Regional General Hospital","G016","",""
"","","Microphone","C001593","C001593","A3011402024N","VIHA-NRGH-Nanaimo Regional General Hospital","G117","",""
"","","Microphone","C001594","C001594","A3011402023N","VIHA-NRGH-Nanaimo Regional General Hospital","PACU","",""
"","","Microphone","C001595","C001595","A2371400370N","VIHA-NRGH-Nanaimo Regional General Hospital","G002","",""
"","","Microphone","C001596","C001596","A2371400371N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001597","C001597","A2371400373N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001598","C001598","A2371400376N","VIHA-NRGH-Nanaimo Regional General Hospital","SDC","",""
"","","Microphone","C001599","C001599","A2371400378N","VIHA-NRGH-Nanaimo Regional General Hospital","HIRU","",""
"","","Microphone","C001601","C001601","A3011402017N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001602","C001602","A3011402018N","VIHA-NRGH-Nanaimo Regional General Hospital","R1016","",""
"","","Microphone","C001603","C001603","A3011402019N","VIHA-NRGH-Nanaimo Regional General Hospital","R1025","",""
"","","Microphone","C001604","C001604","A3011402020N","VIHA-NRGH-Nanaimo Regional General Hospital","SDC","",""
"","","Microphone","C001736","C001736","A2191401368N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001737","C001737","A3011402032N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001738","C001738","A3010402031N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001739","C001739","A3011402047N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001740","C001740","0POWM2N-005","VIHA-DPRC-Dufferin Place (NRGH)","","",""
"","","Microphone","C001742","C001742","A3011402046N","VIHA-NRGH-Nanaimo Regional General Hospital","Ed","",""
"","","Microphone","C001744","C001744","A3011402044N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001745","C001745","A3011402041N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001746","C001746","A3011402042N","VIHA-NRGH-Nanaimo Regional General Hospital","ED","",""
"","","Microphone","C001747","C001747","A3011402039N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001748","C001748","A3011402040N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001749","C001749","A3011402037N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001750","C001750","A3011402038N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001751","C001751","A3011402035N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001752","C001752","A3011402033N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001753","C001753","A3011402036N","VIHA-NRGH-Nanaimo Regional General Hospital","NICU","",""
"","","Microphone","C001754","C001754","0POWM2N-005","VIHA-NRGH-Nanaimo Regional General Hospital","B004","",""
"","","Microphone","C001756","C001756","A2191401363N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001757","C001757","A2191401362N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001758","C001758","A2191401361N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001759","C001759","A2191401358N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001760","C001760","A2191401357N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001761","C001761","A2191401360N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001762","C001762","A2191401359N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001763","C001763","A3011402027N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001765","C001765","A3011402025N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001766","C001766","A3011401992N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001767","C001767","0POWM2N-005","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001768","C001768","A2191401369N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001769","C001769","A3011402028N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C001770","C001770","A2371400383N","VIHA-NRGH-Nanaimo Regional General Hospital","","",""
"","","Microphone","C002336","C002336","A3381500853N","VIHA-VGH-Victoria General Hospital","1817","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002432","C002432","A3271600173N3","VIHA-CRDS-Campbell River Dogwood Street","","0POWM3N9","NUANCE COMMUNICATIONS"
"","","Microphone","C002433","C002433","A19919D31182N9","VIHA-CRG-Campbell River General Hospital","CR1531","POWERMIC III","NUANCE COMMUNICATIONS"
"","","Microphone","C002434","C002434","A19919D31183N9","VIHA-CVH-Comox Valley Hospital","CV1515","POWERMIC III","NUANCE COMMUNICATIONS"
"","","Microphone","C002485","C002485","2347135662","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","C002486","C002486","2347135669","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","C002526","C002526","A3381500912N","","","",""
"","","Microphone","C002527","C002527","A3381500911N","","","",""
"","","Microphone","C002528","C002528","A3381500910N","","","",""
"","","Microphone","C002529","C002529","A3381500906N","VIHA-PHPCC-Port Hardy Primary Care Centre","","",""
"","","Microphone","C002559","C002559","A3381500905N","","","",""
"","","Microphone","C002560","C002560","A3281400093N","VIHA-CRDS-Campbell River Dogwood Street","","",""
"","","Microphone","C002628","C002628","A3411500118N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002629","C002629","A3411500120N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002630","C002630","A3381500904N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002631","C002631","A3381500901N","VIHA-RJH-Royal Jubilee Hospital","WB4","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002632","C002632","A3381500897N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002633","C002633","A3381500898N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002634","C002634","A3381500903N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002635","C002635","A3381500902N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","AO800338","Microphone","C002636","C002636","A3381500900N","VIHA-PHH-Port Hardy Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","C002637","C002637","A3381500899N","VIHA-PHPCC-Port Hardy Primary Care Centre","","0POWM2N-005","NUANCE COMMUNICATIONS"
