"company","serial_number","name","asset","manufacturer","u_manufacturer_part_number","u_parent_asset","location"
"Island Health","1269827-0033","AO000057-CRT","AO000057-CRT","ERGOTRON","C50-3510-0","AO000057","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor"
"Island Health","1297848-0032","AO000058-CRT","AO000058-CRT","ERGOTRON","SV43-2570-0","AO000058","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor"
"Island Health","1297850-0005","AO000059-CRT","AO000059-CRT","ERGOTRON","C50-3510-0","AO000059","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor"
"Island Health","1297846-0027","AO000061-CRT","AO000061-CRT","ERGOTRON","C50-3510-0","AO000061","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-4th Floor"
"Island Health","1268836-0010","AO000062-CRT","AO000062-CRT","ERGOTRON","C50-3510-0","AO000062","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-2nd Floor"
"Island Health","1297847-0050","AO000063-CRT","AO000063-CRT","ERGOTRON","C50-3510-0","AO000063","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor"
"Island Health","1297849-0012","AO000064-CRT","AO000064-CRT","ERGOTRON","C50-3510-0","AO000064","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor"
"Island Health","1297847-0045","AO000066-CRT","AO000066-CRT","ERGOTRON","C50-3510-0","AO000066","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor"
"Island Health","1297846-0013","AO000067-CRT","AO000067-CRT","ERGOTRON","C50-3510-0","AO000067","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor"
"Island Health","1269828-0024","AO000068-CRT","AO000068-CRT","ERGOTRON","C50-3510-0","AO000068","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor"
"Island Health","1296598-0011","AO000069-CRT","AO000069-CRT","ERGOTRON","SV43-2570-0","AO000069","VIHA-RJH-Royal Jubilee Hospital-Royal Block-1st Floor"
"Island Health","1297846-0047","AO000071-CRT","AO000071-CRT","ERGOTRON","C50-3510-0","AO000071","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor"
