"u_parent_asset","u_parent_asset.parent","u_category","name","asset_tag","serial_number","location","u_room","u_model_name","manufacturer"
"AO005555-CRT","AO005555","Barcode Scanner","AO005555-SCN","1991510-0076-SCN","1991510-0076-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005612-CRT","AO005612","Barcode Scanner","AO005612-SCN","1991510-0077-SCN","1991510-0077-SCN","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005669-CRT","AO005669","Barcode Scanner","AO005669-SCN","1991510-0078-SCN","1991510-0078-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005633-CRT","AO005633","Barcode Scanner","AO005633-SCN","1991510-0081-SCN","1991510-0081-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005607-CRT","AO005607","Barcode Scanner","AO005607-SCN","1991510-0090-SCN","1991510-0090-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005567-CRT","AO005567","Barcode Scanner","AO005567-SCN","1991510-0091-SCN","1991510-0091-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005645-CRT","AO005645","Barcode Scanner","AO005645-SCN","1991510-0101-SCN","1991510-0101-SCN","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","1128 (Hallway)","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005659-CRT","AO005659","Barcode Scanner","AO005659-SCN","1991510-0102-SCN","1991510-0102-SCN","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-2nd Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005667-CRT","AO005667","Barcode Scanner","AO005667-SCN","1991510-0105-SCN","1991510-0105-SCN","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-2nd Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005580-CRT","AO005580","Barcode Scanner","AO005580-SCN","1991510-0106-SCN","1991510-0106-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005648-CRT","AO005648","Barcode Scanner","AO005648-SCN","2010504-0069-SCN","2010504-0069-SCN","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005561-CRT","AO005561","Barcode Scanner","AO005561-SCN","2010504-0071-SCN","2010504-0071-SCN","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005591-CRT","AO005591","Barcode Scanner","AO005591-SCN","2011734-0001-SCN","2011734-0001-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005668-CRT","AO005668","Barcode Scanner","AO005668-SCN","2011734-0042-SCN","2011734-0042-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005568-CRT","AO005568","Barcode Scanner","AO005568-SCN","2011734-0090-SCN","2011734-0090-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005619-CRT","AO005619","Barcode Scanner","AO005619-SCN","2011734-0091-SCN","2011734-0091-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005579-CRT","AO005579","Barcode Scanner","AO005579-SCN","2011734-0092-SCN","2011734-0092-SCN","VIHA-RJH-Royal Jubilee Hospital-Royal Jubilee Main-1st Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005586-CRT","AO005586","Barcode Scanner","AO005586-SCN","2011734-0093-SCN","2011734-0093-SCN","VIHA-RJH-Royal Jubilee Hospital","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005609-CRT","AO005609","Barcode Scanner","AO005609-SCN","2011734-0094-SCN","2011734-0094-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-5th Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005557-CRT","AO005557","Barcode Scanner","AO005557-SCN","2011734-0095-SCN","2011734-0095-SCN","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005640-CRT","AO005640","Barcode Scanner","AO005640-SCN","2011734-0096-SCN","2011734-0096-SCN","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-2nd Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005554-CRT","AO005554","Barcode Scanner","AO005554-SCN","2011734-0097-SCN","2011734-0097-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005596-CRT","AO005596","Barcode Scanner","AO005596-SCN","2011734-0100-SCN","2011734-0100-SCN","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005556-CRT","AO005556","Barcode Scanner","AO005556-SCN","2011734-0101-SCN","2011734-0101-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005658-CRT","AO005658","Barcode Scanner","AO005658-SCN","2011734-0102-SCN","2011734-0102-SCN","VIHA-RJH-Royal Jubilee Hospital","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005608-CRT","AO005608","Barcode Scanner","AO005608-SCN","2011734-0104-SCN","2011734-0104-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005629-CRT","AO005629","Barcode Scanner","AO005629-SCN","2011734-0105-SCN","2011734-0105-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005672-CRT","AO005672","Barcode Scanner","AO005672-SCN","2011734-0106-SCN","2011734-0106-SCN","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005575-CRT","AO005575","Barcode Scanner","AO005575-SCN","2011734-0107-SCN","2011734-0107-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005582-CRT","AO005582","Barcode Scanner","AO005582-SCN","2011734-0108-SCN","2011734-0108-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005652-CRT","AO005652","Barcode Scanner","AO005652-SCN","2011734-0109-SCN","2011734-0109-SCN","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005649-CRT","AO005649","Barcode Scanner","AO005649-SCN","2013547-0115-SCN","2013547-0115-SCN","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005651-CRT","AO005651","Barcode Scanner","AO005651-SCN","2013610-0018-SCN","2013610-0018-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005599-CRT","AO005599","Barcode Scanner","AO005599-SCN","2013610-0019-SCN","2013610-0019-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005664-CRT","AO005664","Barcode Scanner","AO005664-SCN","2013610-0020-SCN","2013610-0020-SCN","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005661-CRT","AO005661","Barcode Scanner","AO005661-SCN","2013610-0021-SCN","2013610-0021-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005573-CRT","AO005573","Barcode Scanner","AO005573-SCN","2013610-0022-SCN","2013610-0022-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005548-CRT","AO005548","Barcode Scanner","AO005548-SCN","2013610-0023-SCN","2013610-0023-SCN","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005624-CRT","AO005624","Barcode Scanner","AO005624-SCN","2013610-0024-SCN","2013610-0024-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005584-CRT","AO005584","Barcode Scanner","AO005584-SCN","2013610-0025-SCN","2013610-0025-SCN","VIHA-RJH-Royal Jubilee Hospital","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005631-CRT","AO005631","Barcode Scanner","AO005631-SCN","2013610-0026-SCN","2013610-0026-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005587-CRT","AO005587","Barcode Scanner","AO005587-SCN","2013610-0027-SCN","2013610-0027-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005594-CRT","AO005594","Barcode Scanner","AO005594-SCN","2013610-0028-SCN","2013610-0028-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
